locality,area,rent,price_per_sqft,facing,BHK,bathrooms,parking
BTM Layout,565.0,20060.0,6195.0,North-West,1,1,Bike
BTM Layout,1837.0,97434.0,9254.0,East,3,3,Bike and Car
BTM Layout,1280.0,54448.0,7422.0,East,2,2,Car
BTM Layout,2220.0,117000.0,9234.0,North,3,3,Bike and Car
BTM Layout,1113.0,34388.0,5391.0,East,2,2,Bike and Car
BTM Layout,1332.0,36394.0,4767.0,West,2,2,Bike and Car
BTM Layout,1815.0,112000.00000000001,10744.0,North-East,3,2,Car
BTM Layout,1400.0,41266.0,5143.0,South-East,2,2,Bike and Car
BTM Layout,3006.0,129000.0,7485.0,East,4,5,Bike and Car
BTM Layout,1600.0,92849.0,10125.0,South,3,2,Bike and Car
BTM Layout,1200.0,42985.0,6250.0,West,2,2,Bike and Car
BTM Layout,1000.0,34388.0,6000.0,West,2,2,Bike and Car
BTM Layout,1200.0,40120.0,5833.0,North,2,2,Bike and Car
BTM Layout,4650.0,229000.0,8602.0,East,4,13,Bike
BTM Layout,1060.0,31522.0,5189.0,North,3,2,Bike and Car
BTM Layout,1325.0,71643.0,9434.0,East,3,2,Bike and Car
BTM Layout,1025.0,32096.0,5463.0,North,2,2,Bike and Car
BTM Layout,2200.0,71643.0,5682.0,East,3,3,Bike and Car
BTM Layout,920.0,22925.0,4348.0,North,2,2,Bike and Car
BTM Layout,1030.0,27510.0,4660.0,North,2,2,Bike and Car
BTM Layout,1020.0,33242.0,5686.0,West,2,2,Car
BTM Layout,1650.0,42985.0,4545.0,East,3,2,Car
BTM Layout,1100.0,51583.0,8182.0,West,2,2,Bike and Car
BTM Layout,1185.0,40120.0,5907.0,North,3,2,Bike and Car
BTM Layout,2220.0,117000.0,9234.0,North,3,3,Bike and Car
Attibele,765.0,18340.0,4183.0,East,1,1,Bike and Car
Attibele,656.0,13182.0,3506.0,North-East,2,2,Bike and Car
Attibele,837.0,18913.0,3943.0,East,2,2,Car
Attibele,1347.0,21091.0,2732.0,North,3,2,Bike and Car
Attibele,691.0,20060.0,5065.0,East,2,1,Bike and Car
Attibele,750.0,15474.0,3600.0,East,2,2,Bike and Car
Attibele,1069.0,21206.0,3461.0,North,2,2,Bike and Car
Attibele,1007.0,25791.0,4469.0,East,2,2,Bike and Car
Attibele,1258.0,25791.0,3577.0,East,2,2,Bike and Car
Attibele,1169.0,25791.0,3849.0,West,2,2,Bike and Car
Attibele,1350.0,26937.0,3481.0,North-East,2,2,Car
Attibele,1175.0,25218.0,3745.0,East,2,2,Bike and Car
Attibele,2900.0,54448.0,3276.0,North,4,4,Car
Attibele,1060.0,20633.0,3396.0,South,2,2,Bike and Car
Attibele,1007.0,31522.0,5462.0,East,2,2,Bike and Car
Attibele,1210.0,21779.0,3140.0,North-East,3,3,Bike and Car
Attibele,880.0,16048.0,3182.0,North-East,2,2,Bike and Car
Attibele,810.0,18340.0,3951.0,East,2,2,Bike and Car
Attibele,800.0,14328.0,3125.0,North,2,2,Bike and Car
Attibele,750.0,12609.0,2933.0,North,2,1,Bike and Car
Attibele,2000.0,13468.0,1175.0,East,2,1,Bike and Car
Attibele,615.0,17194.0,4878.0,East,2,1,Bike and Car
Attibele,630.0,18340.0,5079.0,East,2,2,Car
Attibele,1200.0,28657.0,4167.0,North,3,3,Bike and Car
Attibele,750.0,20060.0,4667.0,North-East,2,2,Bike and Car
K R Puram ,1164.0,37254.0,5584.0,West,2,2,Bike and Car
K R Puram ,1138.0,35534.0,5448.0,West,2,2,Bike and Car
K R Puram ,1139.0,36108.0,5531.0,West,2,2,Bike and Car
K R Puram ,1139.0,36108.0,5531.0,West,2,2,Bike and Car
K R Puram ,1139.0,36108.0,5531.0,West,2,2,Bike and Car
K R Puram ,1133.0,36108.0,5560.0,West,2,2,Bike and Car
K R Puram ,1228.0,36108.0,5130.0,East,2,2,Bike and Car
K R Puram ,1064.0,33886.0,5557.0,West,2,2,Bike and Car
K R Puram ,1138.0,35534.0,5448.0,West,2,2,Bike and Car
K R Puram ,1295.0,44203.0,5956.0,East,3,2,Bike and Car
K R Puram ,1425.0,47651.0,5834.0,East,3,2,Bike and Car
K R Puram ,1339.0,41839.0,5452.0,East,3,2,Bike and Car
K R Puram ,1075.0,35735.0,5800.0,West,2,2,Bike and Car
K R Puram ,1339.0,40120.0,5228.0,East,3,2,Bike and Car
K R Puram ,1113.0,37445.0,5870.0,West,2,2,Bike and Car
K R Puram ,1139.0,37254.0,5707.0,West,2,2,Bike and Car
K R Puram ,1139.0,37254.0,5707.0,West,2,2,Bike and Car
K R Puram ,1295.0,43623.0,5877.0,East,3,2,Bike and Car
K R Puram ,1151.0,35534.0,5387.0,West,2,2,Bike and Car
K R Puram ,1139.0,35534.0,5443.0,West,2,2,Bike and Car
K R Puram ,1075.0,34512.0,5601.0,West,2,2,Bike and Car
K R Puram ,1113.0,36229.0,5679.0,West,2,2,Bike and Car
K R Puram ,1143.0,38471.0,5873.0,North,2,2,Bike and Car
K R Puram ,1064.0,35534.0,5827.0,West,2,2,Bike and Car
K R Puram ,1143.0,38523.0,5881.0,North,2,2,Bike and Car
Marathahalli,7200.0,126000.0,3056.0,,4,26,Bike
Marathahalli,4200.0,74508.0,3095.0,North,4,16,
Marathahalli,1550.0,46997.0,5290.0,West,3,3,Bike and Car
Marathahalli,1120.0,37254.0,5804.0,West,2,2,Bike and Car
Marathahalli,1560.0,50150.0,5609.0,East,3,3,Bike and Car
Marathahalli,1560.0,54448.0,6090.0,East,3,3,Bike and Car
Marathahalli,1110.0,42412.0,6667.0,East,2,2,Bike and Car
Marathahalli,1050.0,31522.0,5238.0,East,2,2,Car
Marathahalli,1500.0,42985.0,5000.0,West,3,3,Bike and Car
Marathahalli,950.0,25791.0,4737.0,East,2,2,Bike and Car
Marathahalli,1600.0,51583.0,5625.0,West,3,3,Bike and Car
Marathahalli,1302.0,48717.0,6528.0,East,2,2,Bike and Car
Marathahalli,1450.0,48717.0,5862.0,West,3,3,Bike and Car
Marathahalli,1170.0,39833.0,5940.0,North,2,2,Bike and Car
Marathahalli,1000.0,28657.0,5000.0,East,2,2,Bike
Marathahalli,1000.0,37254.0,6500.0,North,2,2,Bike and Car
Marathahalli,1650.0,45851.0,4848.0,East,3,3,Bike and Car
Marathahalli,1640.0,48717.0,5183.0,North,3,2,Bike and Car
Marathahalli,1168.0,31522.0,4709.0,South,2,2,Car
Marathahalli,2400.0,68777.0,5000.0,,4,4,Bike
Marathahalli,1145.0,31522.0,4803.0,East,2,2,Bike and Car
Marathahalli,1204.0,42412.0,6146.0,East,2,2,Bike and Car
Marathahalli,1204.0,37953.0,5500.0,West,2,2,Bike and Car
Marathahalli,1300.0,28657.0,3846.0,North,2,2,Bike
Marathahalli,1034.0,24072.0,4062.0,West,2,2,Car
Indiranagar,2200.0,235000.0,18636.0,North,3,3,Bike and Car
Indiranagar,2750.0,163000.0,10364.0,North,4,3,Bike and Car
Indiranagar,1100.0,51583.0,8182.0,North,2,2,Bike and Car
Indiranagar,2450.0,200999.99999999997,14286.0,,3,3,Bike and Car
Indiranagar,1780.0,84825.0,8315.0,North-West,3,3,Bike and Car
Indiranagar,1780.0,91703.0,8989.0,South,3,3,Bike and Car
Indiranagar,1300.0,65911.0,8846.0,East,3,2,Bike and Car
Indiranagar,1400.0,40120.0,5000.0,North,2,2,Bike and Car
Indiranagar,925.0,37254.0,7027.0,North,2,2,Car
Indiranagar,1475.0,120000.0,14237.0,East,3,2,Bike and Car
Indiranagar,1200.0,57314.0,8333.0,North-West,2,2,Bike and Car
Indiranagar,1650.0,85971.0,9091.0,,3,3,Bike and Car
Indiranagar,1800.0,25791.0,2500.0,East,4,3,Bike and Car
Indiranagar,1445.0,54448.0,6574.0,South-East,3,2,Bike and Car
Indiranagar,1900.0,103000.0,9474.0,East,3,2,Bike and Car
Indiranagar,1230.0,71643.0,10163.0,West,2,2,
Indiranagar,1165.0,71643.0,10730.0,,2,2,Bike and Car
Indiranagar,1437.0,81386.0,9882.0,North,2,2,Car
Indiranagar,1100.0,48717.0,7727.0,North,2,2,Bike and Car
Indiranagar,2258.0,114999.99999999999,8902.0,East,3,4,Bike and Car
Indiranagar,1331.0,48717.0,6386.0,East,3,2,Bike and Car
Indiranagar,2700.0,126000.0,8148.0,South,4,6,Bike and Car
Indiranagar,1070.0,71643.0,11682.0,South,2,2,Car
Indiranagar,1250.0,65911.0,9200.0,South,2,2,Bike and Car
Indiranagar,1243.0,56741.0,7965.0,South,3,2,Bike and Car
Electronic City,1200.0,29803.0,4333.0,West,2,2,Car
Electronic City,900.0,22925.0,4444.0,West,2,2,Bike and Car
Electronic City,720.0,31522.0,7639.0,,1,1,Bike and Car
Electronic City,1395.0,55595.0,6953.0,West,3,2,Bike and Car
Electronic City,1211.0,52156.0,7514.0,East,2,2,Bike and Car
Electronic City,1175.0,38973.0,5787.0,East,2,2,Bike and Car
Electronic City,1170.0,37254.0,5556.0,East,2,2,Bike and Car
Electronic City,1500.0,41266.0,4800.0,North,3,2,Bike and Car
Electronic City,1350.0,37254.0,4815.0,West,3,3,Car
Electronic City,1470.0,56741.0,6735.0,South,3,3,Car
Electronic City,540.0,10603.0,3426.0,North,1,1,Bike
Electronic City,1270.0,54448.0,7480.0,North,2,2,Bike and Car
Electronic City,1850.0,49290.0,4649.0,,3,2,Car
Electronic City,990.0,40120.0,7071.0,East,2,2,Car
Electronic City,1558.0,41266.0,4621.0,North,3,3,Bike and Car
Electronic City,1585.0,60180.0,6625.0,East,3,3,Bike and Car
Electronic City,1360.0,29803.0,3824.0,West,3,2,Bike and Car
Electronic City,995.0,28084.0,4925.0,East,2,2,Bike and Car
Electronic City,965.0,22925.0,4145.0,West,2,2,Car
Electronic City,1220.0,30376.0,4344.0,East,3,2,Bike and Car
Electronic City,860.0,33242.0,6744.0,,2,1,Bike and Car
Electronic City,1010.0,38572.0,6663.0,,3,2,Bike and Car
Electronic City,1365.0,60180.0,7692.0,North-East,2,2,Bike and Car
Electronic City,1108.0,39546.0,6227.0,East,2,2,Bike and Car
Electronic City,1325.0,37254.0,4906.0,North,2,2,Bike and Car
Yalahanka,1100.0,34388.0,5455.0,,3,3,Bike and Car
Yalahanka,1100.0,28657.0,4545.0,East,2,2,Bike and Car
Yalahanka,1580.0,57314.0,6329.0,West,3,2,Bike and Car
Yalahanka,550.0,12609.0,4000.0,North,1,1,Bike and Car
Yalahanka,1275.0,42985.0,5882.0,North,3,2,Bike and Car
Yalahanka,600.0,13755.0,4000.0,North,1,2,Bike and Car
Yalahanka,1080.0,28657.0,4630.0,East,3,2,
Yalahanka,475.0,11119.0,4084.0,West,1,1,Bike
Yalahanka,485.0,11749.0,4227.0,East,1,1,Bike and Car
Yalahanka,700.0,10889.0,2714.0,North-East,1,1,Bike and Car
Yalahanka,450.0,10316.0,4000.0,South,1,1,
Yalahanka,1250.0,39546.0,5520.0,North-East,3,2,Bike and Car
Yalahanka,500.0,11462.0,4000.0,East,1,2,Bike and Car
Yalahanka,750.0,25791.0,6000.0,North-West,2,2,Bike
Yalahanka,1500.0,42985.0,5000.0,East,2,2,Bike and Car
Yalahanka,1556.0,82864.0,9292.0,,3,3,Bike and Car
Yalahanka,1349.0,72658.0,9398.0,,2,2,Bike and Car
Yalahanka,1350.0,54448.0,7037.0,East,3,2,Car
Yalahanka,2661.0,100000.0,6576.0,East,3,3,Car
Yalahanka,1096.0,57314.0,9124.0,North,2,2,Car
Yalahanka,468.0,6877.0,2564.0,South,1,1,Bike
Yalahanka,1390.0,42985.0,5396.0,East,2,2,Bike and Car
Yalahanka,1065.0,31522.0,5164.0,North,2,2,Bike and Car
Yalahanka,1800.0,51583.0,5000.0,East,4,4,Bike
Yalahanka,1150.0,54448.0,8261.0,North-East,2,2,Bike and Car
Malleshwaram,5200.0,344000.0,11538.0,,4,14,
Malleshwaram,1582.0,114999.99999999999,12642.0,South,3,3,Car
Malleshwaram,937.0,48717.0,9072.0,West,2,2,Bike and Car
Malleshwaram,882.0,42985.0,8503.0,North,2,2,Bike and Car
Malleshwaram,1850.0,91703.0,8649.0,South,4,4,Bike and Car
Malleshwaram,1770.0,129000.0,12712.0,East,3,4,Bike and Car
Malleshwaram,1800.0,132000.0,12778.0,,3,4,Bike and Car
Malleshwaram,1550.0,112000.00000000001,12581.0,East,3,3,Bike and Car
Malleshwaram,900.0,48717.0,9444.0,East,2,1,Bike and Car
Malleshwaram,1150.0,85971.0,13043.0,West,3,2,Bike and Car
Malleshwaram,600.0,22925.0,6667.0,West,1,1,
Malleshwaram,965.0,63045.0,11399.0,East,2,2,Car
Malleshwaram,1250.0,68777.0,9600.0,North,2,2,Bike and Car
Malleshwaram,1960.0,80240.0,7143.0,East,3,3,Car
Malleshwaram,1960.0,91703.0,8163.0,East,3,3,Bike and Car
Malleshwaram,1185.0,54448.0,8017.0,East,2,2,Bike and Car
Malleshwaram,950.0,54448.0,10000.0,North,2,2,Bike and Car
Malleshwaram,1400.0,85971.0,10714.0,East,3,2,Bike and Car
Malleshwaram,700.0,42985.0,10714.0,North-East,2,2,Bike and Car
Malleshwaram,650.0,25791.0,6923.0,South,2,2,Bike and Car
Malleshwaram,1200.0,66484.0,9667.0,South-East,3,2,Bike and Car
Malleshwaram,750.0,48717.0,11333.0,South,2,2,Car
Malleshwaram,2016.0,85971.0,7440.0,East,4,4,Car
Malleshwaram,900.0,39546.0,7667.0,East,2,1,Car
Malleshwaram,850.0,42985.0,8824.0,South,2,2,Bike and Car
Jayanagar,1990.0,200999.99999999997,17588.0,South,3,3,Bike and Car
Jayanagar,1420.0,71643.0,8803.0,North,3,2,
Jayanagar,1200.0,74508.0,10833.0,North,2,2,Bike and Car
Jayanagar,2628.0,172000.0,11416.0,South,3,3,Bike and Car
Jayanagar,1485.0,85971.0,10101.0,South-East,3,3,Bike and Car
Jayanagar,4859.0,391000.0,14056.0,,4,4,Bike and Car
Jayanagar,2037.0,169000.0,14433.0,,3,3,Bike and Car
Jayanagar,2336.0,77374.0,5779.0,East,4,4,
Jayanagar,2000.0,109000.00000000001,9500.0,East,3,3,Bike and Car
Jayanagar,1774.0,132000.0,12965.0,West,3,3,Car
Jayanagar,4084.0,299000.0,12782.0,,4,4,Bike and Car
Jayanagar,1100.0,53302.0,8455.0,North-West,2,2,Bike and Car
Jayanagar,1100.0,31522.0,5000.0,East,2,3,Bike
Jayanagar,1410.0,97434.0,12057.0,North,3,3,Bike and Car
Jayanagar,1940.0,152000.0,13660.0,West,3,3,Bike and Car
Jayanagar,1731.0,144000.0,14500.0,,2,2,Bike and Car
Jayanagar,3223.0,229000.0,12411.0,East,4,4,Car
Jayanagar,2495.0,200999.99999999997,14028.0,East,4,4,Bike and Car
Jayanagar,850.0,51583.0,10588.0,North-East,2,2,Bike and Car
Jayanagar,1200.0,42985.0,6250.0,East,3,2,Bike and Car
Jayanagar,1060.0,45851.0,7547.0,,2,2,Bike and Car
Jayanagar,2000.0,85971.0,7500.0,East,3,3,Bike and Car
Jayanagar,1340.0,77947.0,10149.0,East,3,2,Bike and Car
Jayanagar,5100.0,430000.0,14706.0,East,4,5,Bike and Car
Jayanagar,1340.0,74508.0,9701.0,East,3,2,Bike and Car
